,camera,date,hour,zone,person,car,bicycle,motorcycle,truck,dog
102,1,04-12-2021,13,0,127,0,0,0,0,0
103,1,04-12-2021,13,1,41,0,0,0,0,0
104,1,04-12-2021,13,2,1,26,0,0,3,0
105,1,04-12-2021,12,0,19,0,0,0,0,0
106,1,04-12-2021,12,1,3,0,0,0,0,0
107,1,04-12-2021,12,2,0,30,0,0,5,0
108,1,04-12-2021,11,0,34,0,0,0,0,0
109,1,04-12-2021,11,1,14,0,0,0,0,0
110,1,04-12-2021,11,2,0,29,0,0,1,0
111,1,04-12-2021,10,0,0,0,0,0,0,0
112,1,04-12-2021,10,1,9,0,0,0,0,0
113,1,04-12-2021,10,2,3,40,0,0,0,0
114,1,04-12-2021,9,0,0,0,0,0,0,0
115,1,04-12-2021,9,1,0,0,0,0,0,0
116,1,04-12-2021,9,2,0,4,0,0,0,0
117,1,04-12-2021,8,0,0,0,0,0,0,0
118,1,04-12-2021,8,1,0,0,0,0,0,0
119,1,04-12-2021,8,2,0,6,0,0,0,0
120,1,04-12-2021,7,0,0,0,0,0,0,0
121,1,04-12-2021,7,1,0,0,0,0,0,0
122,1,04-12-2021,7,2,0,5,0,0,0,0
123,1,04-12-2021,6,0,0,0,0,0,0,0
124,1,04-12-2021,6,1,0,0,0,0,0,0
125,1,04-12-2021,6,2,0,3,0,0,0,0
126,1,04-12-2021,5,0,0,0,0,0,0,0
127,1,04-12-2021,5,1,0,0,0,0,0,0
128,1,04-12-2021,5,2,0,7,0,0,0,0
129,1,04-12-2021,4,0,0,0,0,0,0,0
130,1,04-12-2021,4,1,0,0,0,0,0,0
131,1,04-12-2021,4,2,0,7,0,0,0,0
132,1,04-12-2021,3,0,0,0,0,0,0,0
133,1,04-12-2021,3,1,0,0,0,0,0,0
134,1,04-12-2021,3,2,0,8,0,0,0,0
135,1,04-12-2021,2,0,0,0,0,0,0,0
136,1,04-12-2021,2,1,10,0,0,0,0,0
137,1,04-12-2021,2,2,0,17,0,0,0,0
138,1,04-12-2021,1,0,0,0,0,0,0,0
139,1,04-12-2021,1,1,0,0,0,0,0,0
140,1,04-12-2021,1,2,0,22,0,0,0,0
141,1,04-12-2021,0,0,0,0,0,0,0,0
142,1,04-12-2021,0,1,0,0,0,0,0,0
143,1,04-12-2021,0,2,0,36,0,0,0,0
144,1,03-12-2021,23,0,0,0,0,0,0,0
145,1,03-12-2021,23,1,1,0,0,0,0,0
146,1,03-12-2021,23,2,0,44,0,0,0,0
147,1,03-12-2021,22,0,0,0,0,0,0,0
148,1,03-12-2021,22,1,0,0,0,0,0,0
149,1,03-12-2021,22,2,0,80,0,0,0,0
150,1,03-12-2021,21,0,0,0,0,0,0,0
151,1,03-12-2021,21,1,2,0,0,0,0,0
152,1,03-12-2021,21,2,0,76,0,0,0,0
153,1,03-12-2021,20,0,0,59,0,0,0,0
154,1,03-12-2021,20,1,3,0,0,0,0,0
155,1,03-12-2021,20,2,0,119,0,0,0,0
156,1,03-12-2021,19,0,0,18,0,0,0,0
157,1,03-12-2021,19,1,4,0,0,0,0,0
158,1,03-12-2021,19,2,0,247,0,0,0,0
159,1,03-12-2021,18,0,23,0,0,0,0,0
160,1,03-12-2021,18,1,2,0,0,0,0,0
161,1,03-12-2021,18,2,0,274,0,0,12,0
162,1,03-12-2021,17,0,46,0,0,0,0,0
163,1,03-12-2021,17,1,10,0,0,0,0,0
164,1,03-12-2021,17,2,0,112,0,0,3,0
165,1,03-12-2021,16,0,53,0,0,0,0,0
166,1,03-12-2021,16,1,4,0,0,0,0,0
167,1,03-12-2021,16,2,0,48,0,0,1,0
168,1,03-12-2021,15,0,19,0,0,0,0,0
169,1,03-12-2021,15,1,0,0,0,0,0,0
170,1,03-12-2021,15,2,0,15,0,0,0,0
171,1,03-12-2021,14,0,51,0,0,0,0,0
172,1,03-12-2021,14,1,0,0,0,0,0,0
173,1,03-12-2021,14,2,0,5,0,0,1,0
174,1,03-12-2021,13,0,14,0,0,0,1,0
175,1,03-12-2021,13,1,4,0,0,0,0,0
176,1,03-12-2021,13,2,0,14,0,0,0,0
177,1,03-12-2021,12,0,37,0,0,0,0,0
178,1,03-12-2021,12,1,2,0,0,0,0,0
179,1,03-12-2021,12,2,0,0,0,0,0,0
180,1,03-12-2021,11,0,0,0,0,0,0,0
181,1,03-12-2021,11,1,0,0,0,0,0,0
182,1,03-12-2021,11,2,0,36,0,0,0,0
183,1,03-12-2021,10,0,41,0,0,0,0,0
184,1,03-12-2021,10,1,6,0,0,0,0,0
185,1,03-12-2021,10,2,0,45,0,0,1,0
186,1,03-12-2021,9,0,7,0,0,0,0,0
187,1,03-12-2021,9,1,0,0,0,0,0,0
188,1,03-12-2021,9,2,0,37,0,0,0,0
189,1,03-12-2021,8,0,0,0,0,0,0,0
190,1,03-12-2021,8,1,7,0,0,0,0,0
191,1,03-12-2021,8,2,0,26,0,0,0,0
192,1,03-12-2021,7,0,0,0,0,0,0,0
193,1,03-12-2021,7,1,0,0,0,0,0,0
194,1,03-12-2021,7,2,0,8,0,0,0,0
195,1,03-12-2021,6,0,0,0,0,0,0,0
196,1,03-12-2021,6,1,0,0,0,0,0,0
197,1,03-12-2021,6,2,0,2,0,0,0,0
198,1,03-12-2021,5,0,0,0,0,0,0,0
199,1,03-12-2021,5,1,0,0,0,0,0,0
200,1,03-12-2021,5,2,0,3,0,0,0,0
201,1,03-12-2021,4,0,0,0,0,0,0,0
202,1,03-12-2021,4,1,0,0,0,0,0,0
203,1,03-12-2021,4,2,0,4,0,0,0,0
204,1,03-12-2021,3,0,0,0,0,0,0,0
205,1,03-12-2021,3,1,0,0,0,0,0,0
206,1,03-12-2021,3,2,0,1,0,0,0,0
207,1,03-12-2021,2,0,0,0,0,0,0,0
208,1,03-12-2021,2,1,0,0,0,0,0,0
209,1,03-12-2021,2,2,0,16,0,0,0,0
210,1,03-12-2021,1,0,0,0,0,0,0,0
211,1,03-12-2021,1,1,0,0,0,0,0,0
212,1,03-12-2021,1,2,0,16,0,0,0,0
213,1,03-12-2021,0,0,0,10,0,0,0,0
214,1,03-12-2021,0,1,0,0,0,0,0,0
215,1,03-12-2021,0,2,0,34,0,0,0,0
216,1,02-12-2021,23,0,0,0,0,0,0,0
217,1,02-12-2021,23,1,2,0,0,0,0,0
218,1,02-12-2021,23,2,0,37,0,0,0,0
219,1,02-12-2021,22,0,0,0,0,0,0,0
220,1,02-12-2021,22,1,0,0,0,0,0,0
221,1,02-12-2021,22,2,0,52,0,0,0,0
222,1,02-12-2021,21,0,0,0,0,0,0,0
223,1,02-12-2021,21,1,0,0,0,0,0,0
224,1,02-12-2021,21,2,0,69,0,0,0,0
225,1,02-12-2021,20,0,0,195,0,0,0,0
226,1,02-12-2021,20,1,1,0,0,0,0,0
227,1,02-12-2021,20,2,0,100,0,0,0,0
228,1,02-12-2021,19,0,0,56,0,0,0,0
229,1,02-12-2021,19,1,0,0,0,0,0,0
230,1,02-12-2021,19,2,0,210,0,0,0,0
231,1,02-12-2021,18,0,17,0,0,0,0,0
232,1,02-12-2021,18,1,0,0,0,0,0,0
233,1,02-12-2021,18,2,0,187,0,0,2,0
234,1,02-12-2021,17,0,19,0,0,0,0,1
235,1,02-12-2021,17,1,25,0,0,0,0,0
236,1,02-12-2021,17,2,0,64,0,0,0,0
237,1,02-12-2021,16,0,21,0,0,0,0,0
238,1,02-12-2021,16,1,0,0,0,0,0,0
239,1,02-12-2021,16,2,0,82,0,0,1,0
240,1,02-12-2021,15,0,18,0,0,0,0,0
241,1,02-12-2021,15,1,0,0,0,0,0,0
242,1,02-12-2021,15,2,0,10,0,0,0,0
243,1,02-12-2021,14,0,51,0,0,0,0,0
244,1,02-12-2021,14,1,8,0,0,0,0,0
245,1,02-12-2021,14,2,0,22,0,0,2,0
246,1,02-12-2021,13,0,0,0,0,0,0,0
247,1,02-12-2021,13,1,0,0,0,0,0,0
248,1,02-12-2021,13,2,0,14,0,0,0,0
249,1,02-12-2021,12,0,0,0,0,0,0,0
250,1,02-12-2021,12,1,0,0,0,0,0,0
251,1,02-12-2021,12,2,0,0,0,0,0,0
252,1,02-12-2021,11,0,0,0,0,0,0,0
253,1,02-12-2021,11,1,0,0,0,0,0,0
254,1,02-12-2021,11,2,0,0,0,0,0,0
255,1,02-12-2021,10,0,0,0,0,0,0,0
256,1,02-12-2021,10,1,0,0,0,0,0,0
257,1,02-12-2021,10,2,0,0,0,0,0,0
258,1,02-12-2021,9,0,0,0,0,0,0,0
259,1,02-12-2021,9,1,0,0,0,0,0,0
260,1,02-12-2021,9,2,0,5,0,0,0,0
261,1,02-12-2021,8,0,1,0,0,0,0,0
262,1,02-12-2021,8,1,0,0,0,0,0,0
263,1,02-12-2021,8,2,0,9,0,0,0,0
264,1,02-12-2021,7,0,0,0,0,0,0,0
265,1,02-12-2021,7,1,0,0,0,0,0,0
266,1,02-12-2021,7,2,0,2,0,0,0,0
