camera,datetime,zone,person,car,bicycle,motorcycle,truck,dog
2,25-11-2021 1:00,2,0,0,0,0,0,0
2,25-11-2021 1:00,3,0,0,0,0,0,0
2,25-11-2021 2:00,0,0,0,0,0,0,0
2,25-11-2021 2:00,1,0,1,0,0,0,0
2,25-11-2021 2:00,2,0,0,0,0,0,0
2,25-11-2021 2:00,3,0,0,0,0,0,0
2,25-11-2021 3:00,0,0,0,0,0,0,0
2,25-11-2021 3:00,1,0,0,0,0,0,0
2,25-11-2021 3:00,2,0,0,0,0,0,0
2,25-11-2021 3:00,3,0,0,0,0,0,0
2,25-11-2021 4:00,0,0,0,0,0,0,0
2,25-11-2021 4:00,1,0,1,0,0,0,0
2,25-11-2021 4:00,2,0,0,0,0,0,0
2,25-11-2021 4:00,3,0,0,0,0,0,0
2,25-11-2021 5:00,0,0,0,0,0,0,0
2,25-11-2021 5:00,1,0,0,0,0,0,0
2,25-11-2021 5:00,2,0,0,0,0,0,0
2,25-11-2021 5:00,3,0,0,0,0,0,0
2,25-11-2021 6:00,0,0,0,0,0,0,0
2,25-11-2021 6:00,1,0,0,0,0,0,0
2,25-11-2021 6:00,2,0,0,0,0,0,0
2,25-11-2021 6:00,3,0,0,0,0,0,0
2,25-11-2021 7:00,0,0,1,0,0,0,0
2,25-11-2021 7:00,1,0,1,0,0,0,0
2,25-11-2021 7:00,2,0,0,0,0,0,0
2,25-11-2021 7:00,3,0,0,0,0,0,0
2,25-11-2021 8:00,0,0,2,0,0,0,0
2,25-11-2021 8:00,1,0,0,0,0,0,0
2,25-11-2021 8:00,2,0,0,0,0,0,0
2,25-11-2021 8:00,3,0,0,0,0,0,0
2,25-11-2021 9:00,0,0,8,0,0,1,0
2,25-11-2021 9:00,1,0,2,0,0,0,0
2,25-11-2021 9:00,2,0,0,0,0,0,0
2,25-11-2021 9:00,3,0,0,0,0,0,0
2,25-11-2021 10:00,0,0,193,0,0,14,0
2,25-11-2021 10:00,1,11,14,0,0,5,0
2,25-11-2021 10:00,2,58,0,0,0,0,0
2,25-11-2021 10:00,3,62,0,0,0,0,0
2,25-11-2021 11:00,0,0,39,0,0,11,0
2,25-11-2021 11:00,1,12,5,0,0,5,0
2,25-11-2021 11:00,2,0,0,0,0,0,0
2,25-11-2021 11:00,3,53,0,0,0,0,0
2,25-11-2021 12:00,0,0,10,0,0,5,0
2,25-11-2021 12:00,1,4,6,0,0,0,0
2,25-11-2021 12:00,2,0,0,0,0,0,0
2,25-11-2021 12:00,3,0,0,0,0,0,0
2,25-11-2021 13:00,0,0,22,0,0,5,0
2,25-11-2021 13:00,1,2,5,0,0,0,0
2,25-11-2021 13:00,2,8,0,1,0,0,0
2,25-11-2021 13:00,3,0,0,0,0,0,0
2,25-11-2021 14:00,0,0,30,0,0,24,0
2,25-11-2021 14:00,1,1,4,0,0,3,0
2,25-11-2021 14:00,2,1,0,0,0,0,0
2,25-11-2021 14:00,3,3,0,0,0,0,0
2,25-11-2021 15:00,0,0,33,0,0,14,0
2,25-11-2021 15:00,1,4,5,0,0,9,0
2,25-11-2021 15:00,2,4,0,0,0,0,0
2,25-11-2021 15:00,3,25,0,0,0,0,0
2,25-11-2021 16:00,0,0,64,0,0,4,0
2,25-11-2021 16:00,1,12,1,0,0,3,0
2,25-11-2021 16:00,2,24,0,0,0,0,0
2,25-11-2021 16:00,3,56,0,0,0,0,0
2,25-11-2021 17:00,0,0,161,0,0,19,0
2,25-11-2021 17:00,1,48,11,0,0,9,0
2,25-11-2021 17:00,2,70,0,0,0,0,0
2,25-11-2021 17:00,3,120,0,0,0,0,0
2,25-11-2021 18:00,0,0,68,0,0,1,0
2,25-11-2021 18:00,1,8,15,0,0,5,0
2,25-11-2021 18:00,2,20,0,0,0,0,0
2,25-11-2021 18:00,3,22,0,0,0,0,0
2,25-11-2021 19:00,0,0,4,0,0,0,0
2,25-11-2021 19:00,1,0,10,0,0,0,0
2,25-11-2021 19:00,2,0,0,0,0,0,0
2,25-11-2021 19:00,3,0,0,0,0,0,0
2,25-11-2021 20:00,0,0,0,0,0,0,0
2,25-11-2021 20:00,1,0,2,0,0,0,0
2,25-11-2021 20:00,2,21,0,0,0,0,0
2,25-11-2021 20:00,3,0,0,0,0,0,0
2,25-11-2021 21:00,0,0,0,0,0,0,0
2,25-11-2021 21:00,1,0,2,0,0,0,0
2,25-11-2021 21:00,2,0,0,0,0,0,0
2,25-11-2021 21:00,3,0,0,0,0,0,0
2,25-11-2021 22:00,0,0,0,0,0,0,0
2,25-11-2021 22:00,1,0,0,0,0,0,0
2,25-11-2021 22:00,2,0,0,0,0,0,0
2,25-11-2021 22:00,3,0,0,0,0,0,0
2,25-11-2021 23:00,0,0,0,0,0,0,0
2,25-11-2021 23:00,1,0,2,0,0,0,0
2,25-11-2021 23:00,2,0,0,0,0,0,0
2,25-11-2021 23:00,3,0,0,0,0,0,0
2,26-11-2021 0:00,0,0,0,0,0,0,0
2,26-11-2021 0:00,1,1,0,0,0,0,0
2,26-11-2021 0:00,2,1,0,0,0,0,0
2,26-11-2021 0:00,3,0,0,0,0,0,0
2,26-11-2021 1:00,0,0,0,0,0,0,0
2,26-11-2021 1:00,1,0,1,0,0,0,0
2,26-11-2021 1:00,2,0,0,0,0,0,0
2,26-11-2021 1:00,3,0,0,0,0,0,0
2,26-11-2021 2:00,0,0,0,0,0,0,0
2,26-11-2021 2:00,1,0,0,0,0,0,0
2,26-11-2021 2:00,2,0,0,0,0,0,0
2,26-11-2021 2:00,3,0,0,0,0,0,0
2,26-11-2021 3:00,0,0,0,0,0,0,0
2,26-11-2021 3:00,1,0,0,0,0,0,0
2,26-11-2021 3:00,2,0,0,0,0,0,0
2,26-11-2021 3:00,3,0,0,0,0,0,0
2,26-11-2021 4:00,0,0,0,0,0,0,0
2,26-11-2021 4:00,1,0,0,0,0,0,0
2,26-11-2021 4:00,2,0,0,0,0,0,0
2,26-11-2021 4:00,3,0,0,0,0,0,0
2,26-11-2021 5:00,0,0,0,0,0,0,0
2,26-11-2021 5:00,1,0,0,0,0,0,0
2,26-11-2021 5:00,2,0,0,0,0,0,0
2,26-11-2021 5:00,3,0,0,0,0,0,0
2,26-11-2021 6:00,0,0,0,0,0,0,0
2,26-11-2021 6:00,1,0,0,0,0,0,0
2,26-11-2021 6:00,2,2,0,0,0,0,0
